PLAYER	TEAM	FP	INT	PD	SOLO	AST	SACK	FUMR	FORCE
Rashean Mathis	JAC	3.8	0.1	0.4	2.9	1.6	0	0.08	0.07
Mike Adams	DEN	3.8	0.14	0.36	2.7	1	0.04	0.05	0.08
Abram Elam	KC	3.8	0.03	0.26	3	1.4	0.06	0.06	0.16
Leon Hall	CIN	3.8	0.11	0.58	2.9	1.6	0	0.09	0.05
Dwight Lowery	JAC	3.8	0.19	0.45	1.6	0.9	0.15	0.11	0.01
Louis Delmas	DET	3.8	0.04	0.24	3.1	1.5	0.05	0.08	0.06
Glover Quin	HOU	3.8	0.06	0.57	3.1	1.4	0	0.1	0.05
Jamarca Sanford	MIN	3.8	0.08	0.27	2.7	1.7	0.02	0.15	0.12
Jacob Lacey	DET	3.8	0.07	0.37	2.7	1.3	0	0.06	0.22
Champ Bailey	DEN	3.7	0.11	0.95	2.8	1.1	0.02	0.02	0.09
Jabari Greer	NO	3.7	0.17	1.02	2.7	1.3	0	0.03	0.01
Carlos Rogers	SF	3.7	0.16	0.56	2.7	0.9	0	0.01	0.02
Kelvin Hayden	CHI	3.7	0.19	0.38	2.3	0.8	0	0.02	0.03
Tim Jennings	CHI	3.7	0.06	0.38	3.1	1	0	0.06	0.08
Craig Dahl	STL	3.7	0.08	0.21	3	1.2	0.02	0.02	0.09
Brandon Flowers	KC	3.7	0.13	1.07	2.8	1.4	0	0.01	0.03
Amari Spievey	DET	3.7	0.11	0.2	2.9	1.4	0.04	0.03	0.01
Richard Sherman	SEA	3.7	0.2	0.85	2.4	1.2	0	0.02	0.12
Chris Gamble	CAR	3.6	0.16	0.71	2.6	1.2	0	0.02	0.02
Chris Houston	DET	3.6	0.14	0.72	2.6	1.2	0	0.01	0.02
Vontae Davis	IND	3.6	0.11	0.5	2.9	2.5	0.03	0.02	0.02
Derek Cox	JAC	3.6	0.17	0.44	2.6	1.5	0	0.02	0.01
Major Wright	CHI	3.5	0.12	0.26	2.5	0.8	0	0.01	0.01
Alterraun Verner	TEN	3.5	0.07	0.38	2.9	1.3	0	0.08	0.02
Kendrick Lewis	KC	3.5	0.1	0.58	2.4	1.2	0	0.05	0.13
Reshad Jones	MIA	3.5	0.03	0.18	3	1.1	0.08	0.05	0.02
Cody Grimm	TB	3.5	0.08	0.2	2.8	0.9	0	0.02	0.05
Quinton Carter	DEN	3.5	0.09	0.23	2.7	1	0.09	0.02	0.01
Harrison Smith	MIN	3.5	0.05	0.4	2.6	1.6	0.05	0.07	0.11
Quentin Jammer	SD	3.4	0.05	0.42	2.8	1	0	0.1	0.04
Sheldon Brown	CLE	3.4	0.16	0.66	2.3	1.3	0	0.04	0.1
Dunta Robinson	ATL	3.4	0.05	0.42	3	1.6	0	0.02	0.01
Ron Bartell	OAK	3.4	0.06	0.58	2.9	1.2	0	0.02	0.05
Steve Gregory	NE	3.4	0.08	0.23	2.7	2	0.01	0.01	0.01
Sam Shields	GB	3.4	0.15	0.63	2.4	1.1	0.03	0.01	0.02
Mark Barron	TB	3.4	0.1	0.39	2.5	0.8	0.02	0.07	0.05
Adrian Wilson	ARI	3.3	0.06	0.5	2.7	0.9	0.06	0.01	0.07
Alphonso Smith	DET	3.3	0.16	0.44	1.7	0.8	0	0.09	0.1
D.J. Moore	CHI	3.3	0.17	0.36	2.1	0.7	0	0.01	0.02
E.J. Biggers	TB	3.3	0.06	0.52	2.9	0.9	0	0.02	0
Javier Arenas	KC	3.3	0.05	0.39	1.5	0.8	0.15	0.06	0.01
Stanford Routt	KC	3.2	0.13	0.95	2.4	1.2	0	0.01	0.04
William Gay	ARI	3.2	0.06	0.53	2.5	0.8	0.05	0.08	0.02
Aaron Williams	BUF	3.2	0.07	0.5	2.5	1.4	0	0.02	0.13
Kareem Jackson	HOU	3.1	0.09	0.4	2.3	1.1	0.01	0.02	0.13
Patrick Robinson	NO	3.1	0.19	0.67	1.8	0.8	0	0.01	0.01
Nnamdi Asomugha	PHI	3	0.19	0.35	2	0.7	0	0.02	0.01
Bryan Scott	BUF	3	0.07	0.34	1.9	1.1	0.09	0.09	0.01
Kenny Phillips	NYG	3	0	0	3	1	0	0	0
Troy Nolan	MIA	3	0.03	0.18	2.6	1	0.04	0.05	0.02
Michael Coe	NYG	3	0	1	3	2	0	0	0
Jason Allen	CIN	2.9	0.08	0.41	2.4	1.4	0	0.02	0.01
Usama Young	CLE	2.9	0.07	0.19	2.4	1.3	0.03	0.02	0.02
Chris Cook	MIN	2.9	0.02	0.48	2.6	1.7	0	0.02	0.02
Marcus Gilchrist	SD	2.9	0.13	0.22	1.7	0.7	0	0.13	0.01
Aaron Ross	JAC	2.8	0.16	0.4	2	1.1	0.01	0.02	0.01
Leodis McKelvin	BUF	2.8	0.07	0.48	1.6	0.9	0	0.16	0.04
Cary Williams	BAL	2.8	0.05	0.75	2.4	1.2	0	0.01	0.09
Dominique Rodgers-Cromartie	PHI	2.7	0.05	0.69	1.9	0.7	0.07	0.02	0.01
Courtney Greene	JAC	2.7	0.04	0.18	2	1.1	0	0.07	0.1
Perrish Cox	SF	2.7	0.02	0.54	2.5	0.9	0	0.01	0
Terrence McGee	BUF	2.6	0.03	0.37	2.4	1.4	0	0.02	0.02
Brandon Meriweather	WAS	2.6	0.04	0.16	2.2	1.5	0	0.02	0.01
Rahim Moore	DEN	2.6	0.06	0.22	2	0.8	0	0.09	0.01
Jim Leonhard	DEN	2.6	0	0.13	2.3	0.8	0	0.04	0.09
Tarell Brown	SF	2.5	0.12	0.41	1.9	0.6	0	0.01	0.01
Quintin Demps	HOU	2.5	0.17	0.26	1.5	0.7	0.01	0.01	0.01
James Sanders	ARI	2.4	0.03	0.17	1.9	0.6	0.01	0.07	0.01
Mike Mitchell	OAK	2.4	0.06	0.43	1.6	0.7	0.07	0.07	0.06
Kyle Wilson	NYJ	2.4	0.13	0.4	1.6	0.7	0	0.03	0.01
Dimitri Patterson	CLE	2.3	0.06	0.63	1.7	0.9	0.02	0.01	0.02
Keenan Lewis	PIT	2.3	0.05	0.23	1.9	0.8	0	0.02	0.02
Mistral Raymond	MIN	2.3	0.19	0.48	1.1	0.7	0	0.09	0.02
Drayton Florence	DET	2.2	0	0.57	1.9	1	0	0.05	0.1
Ryan Mundy	PIT	2.2	0.04	0.19	1.5	0.7	0	0.02	0.22
Chris Culliver	SF	2.2	0.03	0.21	1.9	0.6	0	0.01	0.01
Adam Jones	CIN	2.1	0.01	0.24	1.6	1	0	0.05	0.08
Alan Ball	HOU	2.1	0.07	0.44	1.6	0.7	0	0.05	0.03
Craig Steltz	CHI	2.1	0.05	0.15	1.4	0.5	0.06	0.01	0.12
Chris Clemons	MIA	2.1	0.02	0.18	1.4	0.6	0.01	0.04	0.1
Darian Stewart	STL	2.1	0.01	0.13	1.8	0.7	0	0.02	0.06
Jimmy Smith	BAL	2.1	0.13	0.6	1.2	0.6	0	0.04	0.01
Stephon Gilmore	BUF	2.1	0.18	0.68	1	0.6	0.01	0.05	0.04
Corey Webster	NYG	2	0	1	2	0	0	0	0
Gerald Sensabaugh	DAL	2	0	0	2	0	0	0	0
Justin Tryon	NYG	2	0	0	2	1	0	0	0
Orlando Scandrick	DAL	2	0	1	2	0	0	0	0
Barry Church	DAL	2	0	0	0	1	0	1	0
Brandon Taylor	SD	2	0.06	0.23	1.4	0.5	0.01	0.05	0.04
Christopher Owens	ATL	1.9	0.01	0.25	1.7	1	0.02	0.01	0.01
Janoris Jenkins	STL	1.9	0.1	0.56	1.2	0.5	0.01	0.06	0.03
