PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Jason Phillips	CAR	0.6	0.5	0.2	0.01	0.02	0.02	0.01	0.03
Stevenson Sylvester	PIT	0.6	0.4	0.2	0.02	0.02	0.02	0.01	0.05
Josh Hull	STL	0.6	0.4	0.2	0.02	0.02	0.01	0.01	0.04
Nate Irving	DEN	0.6	0.4	0.2	0.03	0.02	0.01	0.01	0.05
Doug Hogue	DET	0.6	0.4	0.1	0.04	0	0.01	0.01	0.02
Cameron Sheffield	KC	0.6	0.4	0.2	0.03	0.01	0.01	0	0.04
Chris Carter	PIT	0.6	0.4	0.2	0.02	0.02	0.02	0.01	0.04
Ricky Brown	BAL	0.6	0.3	0.1	0.01	0.05	0.07	0	0.06
Andrew Gachkar	SD	0.5	0.3	0.1	0	0.01	0.01	0.02	0.05
Kenny Onatolu	CAR	0.4	0.3	0.2	0.01	0.01	0.01	0.01	0.03
Chris White	BUF	0.4	0.3	0.2	0	0	0.01	0	0.04
James Farrior	PIT	0	0	0	0	0	0	0	0
London Fletcher	WAS	0	0	0	0	0	0	0	0
Nail Diggs	SD	0	0	0	0	0	0	0	0
Scott Fujita	CLE	0	0	0	0	0	0	0	0
Paris Lenon	ARI	0	0	0	0	0	0	0	0
E.J. Henderson	MIN	0	0	0	0	0	0	0	0
Thomas Davis	CAR	0	0	0	0	0	0	0	0
Matt McCoy	SEA	0	0	0	0	0	0	0	0
Darryl Blackstock	BAL	0	0	0	0	0	0	0	0
A.J. Hawk	GB	0	0	0	0	0	0	0	0
Bobby Carpenter	NE	0	0	0	0	0	0	0	0
DQwell Jackson	CLE	0	0	0	0	0	0	0	0
Chris Gocong	CLE	0	0	0	0	0	0	0	0
Omar Gaither	HOU	0	0	0	0	0	0	0	0
Stewart Bradley	ARI	0	0	0	0	0	0	0	0
Desmond Bishop	GB	0	0	0	0	0	0	0	0
Antwan Applewhite	CAR	0	0	0	0	0	0	0	0
Quentin Groves	ARI	0	0	0	0	0	0	0	0
Robert James	ATL	0	0	0	0	0	0	0	0
Thomas Williams	TB	0	0	0	0	0	0	0	0
Erik Walden	GB	0	0	0	0	0	0	0	0
Chris Chamberlain	NO	0	0	0	0	0	0	0	0
Gary Guyton	MIA	0	0	0	0	0	0	0	0
Aaron Curry	OAK	0	0	0	0	0	0	0	0
Brian Orakpo	WAS	0	0	0	0	0	0	0	0
Clay Matthews	GB	0	0	0	0	0	0	0	0
Jason Williams	CAR	0	0	0	0	0	0	0	0
Kaluka Maiava	CLE	0	0	0	0	0	0	0	0
Spencer Adkins	ATL	0	0	0	0	0	0	0	0
Brad Jones	GB	0	0	0	0	0	0	0	0
Marcus Benard	CLE	0	0	0	0	0	0	0	0
Reggie Walker	ARI	0	0	0	0	0	0	0	0
Josh Mauga	NYJ	0	0	0	0	0	0	0	0
Daryl Washington	ARI	0	0	0	0	0	0	0	0
Perry Riley	WAS	0	0	0	0	0	0	0	0
A.J. Edds	IND	0	0	0	0	0	0	0	0
