PLAYER	TEAM	FP	SOLO	AST	SACK	FUMR	FORCE	INT	PD
Junior Galette	NO	0	0	0	0	0	0	0	0
Robert Quinn	STL	0	0	0	0	0	0	0	0
Muhammad Wilkerson	NYJ	0	0	0	0	0	0	0	0
Jarvis Jenkins	WAS	0	0	0	0	0	0	0	0
DaQuan Bowers	TB	0	0	0	0	0	0	0	0
Terrell McClain	CAR	0	0	0	0	0	0	0	0
Kenrick Ellis	NYJ	0	0	0	0	0	0	0	0
Zach Clayton	TEN	0	0	0	0	0	0	0	0
Cliff Matthews	ATL	0	0	0	0	0	0	0	0
Chris Neild	WAS	0	0	0	0	0	0	0	0
John Chick	JAC	0	0	0	0	0	0	0	0
Michael Brockers	STL	0	0	0	0	0	0	0	0
Quinton Coples	NYJ	0	0	0	0	0	0	0	0
Chandler Jones	NE	0	0	0	0	0	0	0	0
Jake Bequette	NE	0	0	0	0	0	0	0	0
Thomas Johnson	NO	0	0	0	0	0	0	0	0
